"","Name","Rating","latitude","longitude","price","review_count","categories"
"190","Blackwood",4,37.800591,-122.438832,"$$",1371,"Thai Breakfast & Brunch Asian Fusion"
"191","Wonderful Dessert & Cafe",4,37.7633252984489,-122.479877762902,"$",1216,"Candy Stores Bubble Tea"
"192","Izakaya Sozai",4,37.763879,-122.47413,"$$",1987,"Ramen Izakaya Noodles"
"193","Dynamo Donut & Coffee",4,37.752971,-122.407676,"$",1814,"Coffee & Tea Donuts Patisserie/Cake Shop"
"194","XOX Truffles",4.5,37.80175,-122.41206,"$",589,"Chocolatiers & Shops Coffee & Tea"
"195","Koo",4,37.764358548011,-122.46243827946,"$$$",1074,"Japanese Sushi Bars"
"196","Sushi Zone",4,37.7711651322979,-122.423915188557,"$$",1023,"Sushi Bars Japanese"
"197","Waterbar",3.5,37.7900429,-122.3886065,"$$$",2804,"Seafood American (New) Live/Raw Food"
"198","Cafe Claude",4,37.7903209516376,-122.404523903705,"$$$",1918,"French Venues & Event Spaces"
"199","Parada 22",4,37.7692967769619,-122.452065106142,"$$",1080,"Latin American Puerto Rican"
"200","The Bird",4,37.78724,-122.39995,"$",1156,"Chicken Shop Sandwiches"
"201","Art's Cafe",4,37.763926,-122.4657578,"$",1049,"Diners Korean American (Traditional)"
"202","Humphry Slocombe Ice Cream",4.5,37.7954033,-122.3938169,"$",1012,"Ice Cream & Frozen Yogurt"
"203","Katana-Ya",3.5,37.78726,-122.41037,"$$",4037,"Sushi Bars Ramen"
"204","The Alembic",4,37.769371,-122.451176,"$$",1653,"Bars American (New) Breakfast & Brunch"
"205","Roka Akor - San Francisco",4,37.7965391394848,-122.403850511802,"$$$$",1109,"Steakhouses Japanese Cocktail Bars"
"206","Amélie",4,37.7931200864529,-122.420906547632,"$$",1295,"Wine Bars Lounges French"
"207","Smuggler's Cove",4,37.77945,-122.42327,"$$",1632,"Venues & Event Spaces Tiki Bars Cocktail Bars"
"208","Hogwash",4.5,37.7891754,-122.4099292,"$$",939,"Gastropubs Beer Bar"
"209","Limón Rotisserie",3.5,37.7644157409668,-122.422134399414,"$$",2370,"Peruvian Tapas/Small Plates"
"210","Liguria Bakery",4.5,37.80153,-122.40916,"$",679,"Bakeries"
"211","Park Tavern",4,37.80113,-122.409,"$$$",1485,"American (New) Breakfast & Brunch"
"212","Yummy Yummy",4,37.76368,-122.46879,"$$",1332,"Vietnamese Chinese Noodles"
"213","5A5 Steak Lounge",4,37.7969972,-122.4000609,"$$$",2038,"Steakhouses Bars"
"214","Straw",4,37.774056,-122.424198,"$$",1690,"American (New) Sandwiches Breakfast & Brunch"
"215","Taylor Street Coffee Shop",4,37.7856803,-122.4114826,"$$",1104,"Burgers Sandwiches Coffee & Tea"
"216","Il Casaro Pizzeria & Mozzarella Bar",4.5,37.7984832,-122.4073981,"$$",930,"Italian Pizza"
"217","Muracci's Japanese Curry & Grill",4,37.791036,-122.404233,"$$",1629,"Japanese Curry"
"218","Ruth's Chris Steak House",4,37.7905481,-122.4226117,"$$$",1972,"Steakhouses Wine Bars"
"219","Stones Throw",4.5,37.7981224060059,-122.418571472168,"$$$",856,"American (New)"
"220","Bistro Central Parc",4.5,37.775023,-122.44427,"$$$",906,"French Breakfast & Brunch"
"221","Roy's Restaurant",4,37.7881,-122.3991,"$$$",2198,"Seafood Steakhouses Sushi Bars"
"222","Lime Tree Southeast Asian Kitchen",4,37.764337,-122.462736,"$",1445,"Singaporean Malaysian Indonesian"
"223","Jardiniere",4,37.7781751,-122.4217932,"$$$$",1605,"French American (New) Champagne Bars"
"224","Zushi Puzzle",4,37.80052,-122.43308,"$$$",1311,"Sushi Bars Japanese Salad"
"225","Coletta Gelato",5,37.78269,-122.3968,"$",359,"Gelato Ice Cream & Frozen Yogurt"
"226","Salt & Straw",4.5,37.78993,-122.43432,"$$",782,"Ice Cream & Frozen Yogurt"
"227","Skool",4,37.7685096967036,-122.402136325836,"$$",1589,"Seafood Japanese Asian Fusion"
"228","Souvla",4,37.77643,-122.425,"$$",1139,"Greek Mediterranean"
"229","Colibri Mexican Bistro",4,37.7871606463558,-122.410636659841,"$$",2156,"Mexican"
"230","Saru Sushi Bar",4.5,37.751706,-122.4288283,"$$$",770,"Sushi Bars Japanese Seafood"
"231","Truly Mediterranean",4,37.764755,-122.422263,"$",1147,"Mediterranean"
"232","Hops & Hominy",4,37.789312,-122.405731,"$$",1948,"Southern American (Traditional) Bars"
"233","SusieCakes",4,37.80045,-122.4381,"$$",1070,"Bakeries Cupcakes Desserts"
"234","Cuisine of Nepal",4.5,37.74097,-122.42318,"$$",449,"Himalayan/Nepalese"
"235","Stella Pastry & Cafe",4,37.79918,-122.40828,"$",1220,"Bakeries Coffee & Tea"
"236","The Flying Falafel",4.5,37.7812488,-122.411304,"$",804,"Falafel Vegan"
"237","Loving Cup",4,37.798653,-122.422157,"$",1039,"Desserts Ice Cream & Frozen Yogurt"
"238","Chow",4,37.76718,-122.42873,"$$",1932,"American (Traditional) Breakfast & Brunch Comfort Food"
"239","The Sentinel",4,37.7882977785009,-122.401372356986,"$",1281,"Sandwiches"
"240","Miette Patisserie",4,37.79601,-122.393979,"$$",1522,"Bakeries Cupcakes"
"241","Bobo's",4,37.8014088795149,-122.425744103705,"$$$",1963,"Steakhouses Seafood"
"242","Swensen's Ice Cream",4.5,37.799191,-122.419276,"$",989,"Ice Cream & Frozen Yogurt"
"243","Trestle",4.5,37.796127,-122.404495,"$$$",738,"American (New)"
"244","Sushi Bistro",4,37.77701,-122.4635,"$$",1503,"Sushi Bars Japanese"
"245","Broken Record",4,37.71426,-122.437,"$",1226,"Dive Bars"
"246","Rusty's Southern",4.5,37.7844,-122.41855,"$$",795,"Southern Breakfast & Brunch Diners"
"247","Golden Gate Fortune Cookies",4.5,37.79577,-122.40725,"$",807,"Bakeries"
"248","Hai Ky Noodles",4,37.7840538024902,-122.417953491211,"$",857,"Chinese Vietnamese Noodles"
"249","Papalote Mexican Grill",3.5,37.75194,-122.42094,"$$",2156,"Mexican"
"250","Griddle Fresh",4,37.751351,-122.432183,"$$",920,"Breakfast & Brunch Salad American (New)"
"251","Pakwan Restaurant - 16th Street",4,37.7649156994629,-122.423777393059,"$",1650,"Indian Pakistani"
"252","Honey Honey Cafe and Crepery",4,37.7878350019455,-122.411520034075,"$$",2215,"Breakfast & Brunch Creperies"
"253","Tataki",4,37.7878390504557,-122.441227674274,"$$",1201,"Sushi Bars Bars"
"254","Sushirrito",4,37.7902241805415,-122.403766215939,"$$",1420,"Japanese Sushi Bars Asian Fusion"
"255","Super Duper Burgers",4,37.7847136151899,-122.403914974246,"$$",1246,"Burgers American (Traditional)"
